1	उदके-विशीर्णम्	[["1.1", "उदके-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "विशीर्णम्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "उदके-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "विशीर्णम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0	True
2	प्रवाहे-मूत्रितम्	[["1.1", "प्रवाहे-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "मूत्रितम्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "प्रवाहे-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "मूत्रितम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0	True
3	भस्मनि-हुतम्	[["1.1", "भस्मनि-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "हुतम्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "भस्मनि-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "हुतम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0	True
4	स्नात-अनुलिप्तः	[["1.1", "स्नात-", "कर्मधारयः,1.2"], ["1.2", "अनुलिप्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "स्नात-", "कर्मधारयः,1.2"], ["1.2", "अनुलिप्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0	True
5	कृष्ट-समीकृतम्	[["1.1", "कृष्ट-", "कर्मधारयः,1.2"], ["1.2", "समीकृतम्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "कृष्ट-", "-,-"], ["1.2", "समीकृतम्", "-,-"], ["2.1", "अस्ति", "-,-"], ["3.1", ".", "-,-"]]	0.0	0.0	0.0	False
6	दग्ध-प्ररूढम्	[["1.1", "दग्ध-", "कर्मधारयः,1.2"], ["1.2", "प्ररूढम्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "दग्ध-", "षष्ठी-तत्पुरुषः,1.2"], ["1.2", "प्ररूढम्", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0	True
7	श्रेणि-कृताः	[["1.1", "श्रेणि-", "कर्मधारयः,1.2"], ["1.2", "कृताः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "श्रेणि-", "तृतीया-तत्पुरुषः,1.2"], ["1.2", "कृताः", "-,-"], ["2.1", "अस्ति", "-,-"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0	True
8	एक-कृताः	[["1.1", "एक-", "कर्मधारयः,1.2"], ["1.2", "कृताः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "एक-", "तृतीया-तत्पुरुषः,1.2"], ["1.2", "कृताः", "-,-"], ["2.1", "अस्ति", "-,-"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0	True
9	नरक-पतितः	[["1.1", "नरक-", "पञ्चमी-तत्पुरुषः,1.2"], ["1.2", "पतितः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "नरक-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "पतितः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0	True
10	स्वर्ग-पतितः	[["1.1", "स्वर्ग-", "पञ्चमी-तत्पुरुषः,1.2"], ["1.2", "पतितः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "स्वर्ग-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "पतितः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0	True
11	कष्ट-श्रितः	[["1.1", "कष्ट-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "श्रितः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "कष्ट-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "श्रितः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0	True
12	दुःख-अतीत	[["1.1", "दुःख-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अतीत", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "दुःख-", "षष्ठी-तत्पुरुषः,1.2"], ["1.2", "अतीत", "-,-"], ["2.1", "अस्ति", "-,-"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0	True
13	ग्राम-गतः	[["1.1", "ग्राम-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "गतः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "ग्राम-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "गतः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0	True
14	तरङ्ग-अत्यस्तः	[["1.1", "तरङ्ग-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अत्यस्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "तरङ्ग-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अत्यस्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0	True
